0.14 0.144305 0.177873
0.13 0.145915 0.170163
0.12 0.147298 0.163108
0.11 0.148471 0.156741
0.10 0.149447 0.151107
0.095 0.149867 0.148579
0.090 0.150243 0.146240
0.085 0.150578 0.144114
0.080 0.150874 0.142187
0.075 0.151132 0.140466
0.070 0.151354 0.138950
0.065 0.151543 0.137640
0.060 0.151701 0.136537
0.055 0.151830 0.135631
0.050 0.151932 0.134922
0.045 0.152011 0.134395
0.040 0.152070 0.134033
0.035 0.152111 0.133819
0.030 0.152138 0.133712
0.025 0.152155 0.133687
0.020 0.152165 0.133695
0.015 0.152171 0.133712
0.010 0.152172 0.133720
0.004 0.152172 0.133720
0.001 0.152172 0.133720
