0.019600 0.147262 0.163347
0.021560 0.147307 0.161774
0.023520 0.147354 0.160234
0.025480 0.147402 0.158718
0.027440 0.147452 0.157244
0.029400 0.147504 0.155794
0.031360 0.147557 0.154386
0.033320 0.147611 0.153010
0.035280 0.147666 0.151659
0.037240 0.147722 0.150350
0.039200 0.147778 0.149065
0.049000 0.148070 0.143093
0.058800 0.148371 0.137756
0.068600 0.148678 0.132954
0.078400 0.148986 0.128588
0.088200 0.149290 0.124577
0.098000 0.149597 0.120903
0.107800 0.149911 0.117535
0.117600 0.150229 0.114438
0.127400 0.150543 0.111547
0.137200 0.150844 0.108804
0.147000 0.151135 0.106209
0.156800 0.151415 0.103730
0.166600 0.151685 0.101358
0.176400 0.151948 0.099093
0.186200 0.152203 0.096935
0.196000 0.152469 0.094941
0.205800 0.152749 0.093138
0.215600 0.153041 0.091507
0.225400 0.153343 0.090032
0.235200 0.153652 0.088706
0.245000 0.153967 0.087512
0.254800 0.154288 0.086441
0.264600 0.154610 0.085486
0.274400 0.154933 0.084621
0.284200 0.155257 0.083847
0.294000 0.155581 0.083171
0.303800 0.155904 0.082570
0.313600 0.156228 0.082053
0.323400 0.156550 0.081617
0.333200 0.156873 0.081250
0.343000 0.157194 0.080953
0.352800 0.157515 0.080723
0.362600 0.157836 0.080562
0.372400 0.158155 0.080459
0.382200 0.158473 0.080414
0.392000 0.158790 0.080426
