0.000980 0.145449
0.002940 0.145432
0.004900 0.145391
0.006860 0.145342
0.008820 0.145276
0.010780 0.145193
0.012740 0.145111
0.014700 0.145012
0.016660 0.144897
0.018620 0.144790
0.020580 0.144666
0.030380 0.143999
0.040180 0.143258
0.049980 0.142500
0.059780 0.141726
0.069580 0.140952
0.079380 0.140186
0.089180 0.139428
0.098980 0.138687
0.108780 0.137953
0.118580 0.137229
0.128380 0.136520
0.138180 0.135820
0.147980 0.135136
0.157780 0.134461
0.167580 0.133802
0.177380 0.133151
0.187180 0.132509
0.196980 0.131875
0.206780 0.131257
0.216580 0.130647
0.226380 0.130046
0.236180 0.129453
0.245980 0.128868
0.255780 0.128300
0.265580 0.127732
0.275380 0.127180
0.285180 0.126636
0.294980 0.126093
0.304780 0.125565
0.314580 0.125047
0.324380 0.124536
0.334180 0.124025
0.343980 0.123531
0.353780 0.123045
0.363580 0.122559
0.373380 0.122090
0.383180 0.121620
